1cq6xseeyl1y1wsd,http://www.ifarchive.org/if-archive/games/zcode/Ottumwa.z5,0,6,NULL,NULL,NULL
1cq6xseeyl1y1wsd,http://www.ifarchive.org/if-archive/games/glulx/Ottumwa.gblorb,1,29,NULL,NULL,NULL
1cq6xseeyl1y1wsd,http://home.roadrunner.com/~thefaughts/advents/Ottumwa.z5,2,6,NULL,NULL,NULL
1cq6xseeyl1y1wsd,http://home.roadrunner.com/~thefaughts/advents/Ottumwa.gblorb,3,29,NULL,NULL,NULL
1cxkfxqeyxxxfr,http://dl.dropbox.com/u/3168842/INFORM/Emptyrooms/Empty%20rooms.zblorb,0,13,NULL,NULL,NULL
1d98igkovonha9fo,http://www.ifarchive.org/if-archive/games/zcode/vindaloo.z5,1,6,NULL,NULL,NULL
1dfuvc0yr2hgs43,http://www.chuckbartholomew.com/file_download/5/Cramming.z8,0,6,NULL,NULL,NULL
1e3gm3sacvyg9nwr,http://www.ifarchive.org/if-archive/games/glulx/german/DerGarten.gblorb,0,25,NULL,NULL,NULL
1f3fz8kasbpe7mlm,http://ifarchive.org/if-archive/games/glulx/chnlsurf.ulx,0,25,NULL,NULL,NULL
1f3fz8kasbpe7mlm,http://www.ifarchive.org/if-archive/games/competition2008/glulx/chnlsurf/chnlsurf.ulx,1,25,NULL,NULL,NULL
1gffo5xsse2m3hw,http://frank-sorge.de/see/seestrasse.z5,0,6,NULL,NULL,NULL
1gnuao9vzlwr4qkg,http://www.ifarchive.org/if-archive/games/competition2001/inform/possess/Alys.z5,1,6,NULL,NULL,NULL
1grik5xmn2zsbjy,http://www.ifarchive.org/if-archive/games/competition2007/zcode/pets/pets.z5,0,6,NULL,NULL,NULL
1ho4lvchvukpgfld,http://www.ifarchive.org/if-archive/games/zcode/Gumshoe.z5,1,6,NULL,NULL,NULL
1hygnm4xhma9ovx,http://www.ifarchive.org/if-archive/games/zcode/TheGarlicCage.z8,0,6,NULL,NULL,NULL
1hygnm4xhma9ovx,http://205.196.121.44/8rub3v4f60lg/ngcrha0bd06k5bm/The+Garlic+Cage.z8,1,6,NULL,NULL,NULL
1ib2w8aopdus8pa,http://ifarchive.org/if-archive/games/zcode/We_Are_Unfinished.zblorb,0,13,NULL,NULL,NULL
1iqmpkn009h9gbug,http://nitku.net/if/yomomma/yomomma.zblorb,1,13,NULL,NULL,NULL
1kvcio22np3gieo9,http://www.marcovallarino.it/zigamus_en.z5,0,6,NULL,NULL,NULL
1l4hjsvaw13r4fpk,http://ifarchive.org/if-archive/games/mini-comps/coverstories/LegendOfTheMissingHat.zblorb,0,13,NULL,NULL,NULL
1l4hjsvaw13r4fpk,http://dl.dropbox.com/u/138762496/Legend%20of%20the%20Missing%20Hat.z8,1,6,NULL,NULL,NULL
1mn18bh1s38tw9bp,http://www.jjguest.com/ectocomp_2013.zip,0,43,NULL,17,Jack.gblorb
1mspez4pljruogux,http://dist.saugus.net/IF/Lighthouse.z8,0,6,NULL,NULL,NULL
1mspez4pljruogux,http://parchment.googlecode.com/svn/trunk/parchment.html?story=http%3A//dist.saugus.net/IF/Lighthouse.z8,1,43,NULL,NULL,NULL
1n36d1snrr6p64xo,http://mirror.ifarchive.org/if-archive/games/mini-comps/metafilter/metafilter2009.zip,0,13,NULL,17,BurnDownScience.zblorb
1n36d1snrr6p64xo,http://www.brandonblatcher.com/meficommunity/metafict/stories/BurnDownScience.zblorb,1,13,NULL,NULL,NULL
1njc6utpnirm9i1s,http://www.ifarchive.org/if-archive/games/competition2010/zcode/ninjas_fate/ninjas_fate.z8,0,6,NULL,NULL,NULL
1osej5jzl5g6cpvf,http://www.ifarchive.org/if-archive/games/competition2012/zcode/testisnowready/The%20Test%20is%20Now%20READY.zblorb,0,13,NULL,NULL,NULL
1qie1vk17usv2rkr,http://www.crochetgeek.net/IF/fade.z1,1,6,NULL,NULL,NULL
